,PROCEDIMENTO,Unnamed: 1,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
688,CAPSULOTOMIA YAG OU CIRÚRGICA,AMB,HCO,HSO,REF,CRISTALINO,OLHOS,,,,,,
689,FACECTOMIA COM LENTE INTRA-OCULAR COM OU SEM FACOEMULSIFICAÇÃO,AMB,HCO,HSO,REF,CRISTALINO,OLHOS,,,,,,
690,FACECTOMIA SEM IMPLANTE,AMB,HCO,HSO,REF,CRISTALINO,OLHOS,,,,,,
691,IMPLANTE SECUNDÁRIO / EXPLANTE DE LENTE INTRA-OCULAR,AMB,HCO,HSO,REF,CRISTALINO,OLHOS,,,,,,
692,"REMOÇÃO DE PIGMENTOS DA LENTE INTRA-OCULAR COM YAG LASER, APÓS CIRURGIA DE CATARATA",AMB,HCO,HSO,REF,CRISTALINO,OLHOS,,,,,,
693,BIÓPSIA DE TUMOR VIA PARS PLANA,,HCO,HSO,REF,CORPO VÍTREO,OLHOS,,,,,,
694,BIÓPSIA DE VÍTREO VIA PARS PLANA,HCO,HSO,REF,CORPO VÍTREO,OLHOS,,,,,,,
695,ENDOLASER/ENDODIATERMIA,HCO,HSO,REF,CORPO VÍTREO,OLHOS,,,,,,,
696,IMPLANTE DE SILICONE INTRAVÍTREO,HCO,HSO,REF,CORPO VÍTREO,OLHOS,,,,,,,
697,INFUSÃO DE PERFLUOCARBONO,HCO,HSO,REF,CORPO VÍTREO,OLHOS,,,,,,,
698,TRATAMENTO OCULAR QUIMIOTERÁPICO COM ANTIANGIOGÊNICO (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,HSO,REF,PAC,74,CORPO VÍTREO,OLHOS,,,,
699,MEMBRANECTOMIA EPI OU SUB-RETINIANA,,HCO,HSO,REF,,,CORPO VÍTREO,OLHOS,,,,
700,RETIRADA DE CORPO ESTRANHO,,HCO,HSO,REF,CORPO VÍTREO,OLHOS,,,,,,
701,RETIRADA DE ÓLEO DE SILICONE,AMB,HCO,HSO,REF,CORPO VÍTREO,OLHOS,,,,,,
702,,RN,,,,,,,,,,,
703,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
704,,(alteração),,,,,,,,,,,
705,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
706,VITRECTOMIA VIAS PARS PLANA,,HCO,HSO,REF,CORPO VÍTREO,OLHOS,,,,,,
707,,,,,,,,INVASIVOS,,,,,
708,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
709,BIÓPSIA DE ESCLERA,AMB,HCO,HSO,REF,ESCLERA,OLHOS,,,,,,
710,ENXERTO DE ESCLERA,HCO,HSO,REF,ESCLERA,OLHOS,,,,,,,
711,SUTURA DE ESCLERA,HCO,HSO,REF,ESCLERA,OLHOS,,,,,,,
712,ENUCLEAÇÃO OU EVISCERAÇÃO COM OU SEM IMPLANTE,HCO,HSO,REF,BULBO OCULAR,OLHOS,,,,,,,
713,INJEÇÃO RETROBULBAR,HCO,HSO,REF,BULBO OCULAR,OLHOS,,,,,,,
714,RECONSTITUIÇÃO DE GLOBO OCULAR COM LESÃO DE ESTRUTURAS INTRA-OCULARES,,HCO,HSO,REF,BULBO OCULAR,OLHOS,,,,,,
715,BIÓPSIA DE ÍRIS E CORPO CILIAR,AMB,HCO,HSO,REF,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
716,CICLOTERAPIA ANTIGLAUCOMATOSA,AMB,HCO,HSO,REF,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
717,CIRURGIAS FISTULIZANTES ANTIGLAUCOMATOSAS COM OU SEM IMPLANTES DE DRENAGEM,,HCO,HSO,REF,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
718,,473/2021,08/11/2021,HCO,HSO,REF,149,ÍRIS E CORPO CILIAR,OLHOS,,,,
719,DRENAGEM POR TÉCNICA MINIMAMENTE INVASIVA (COM DIRETRIZ DE UTILIZAÇÃO),,,,,,,,,INVASIVOS,,,
720,DRENAGEM DE DESCOLAMENTO DE CORÓIDE,,HCO,HSO,REF,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
721,,,,,,,,INVASIVOS,,,,,
722,FIXAÇÃO ESCLERAL OU IRIANA DE LENTE INTRA-OCULAR (EXCETO PARA CORREÇÃO ISOLADA DE,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
723,,,HCO,HSO,REF,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
724,DISTÚRBIOS DE REFRAÇÃO),,,,,,,INVASIVOS,,,,,
725,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
726,FOTOTRABECULOPLASTIA (LASER),AMB,HCO,HSO,REF,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
727,,,,,,,,INVASIVOS,,,,,
728,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
729,GONIOTOMIA OU TRABECULOTOMIA,AMB,HCO,HSO,REF,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
730,IRIDECTOMIA (LASER OU CIRÚRGICA),AMB,HCO,HSO,REF,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
731,IRIDOCICLECTOMIA,,HCO,HSO,REF,ÍRIS E CORPO CILIAR,OLHOS,,,,,,
732,,RN,,,,,,,,,,,
733,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
734,,(alteração),,,,,,,,,,,
735,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
736,CIRURGIA COM SUTURA AJUSTÁVEL,HCO,HSO,REF,MÚSCULOS,OLHOS,,,,,,,
737,,,,,,,INVASIVOS,,,,,,
738,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
739,ESTRABISMO CICLO VERTICAL/TRANSPOSIÇÃO,HCO,HSO,REF,MÚSCULOS,OLHOS,,,,,,,
740,ESTRABISMO HORIZONTAL,,HCO,HSO,REF,,MÚSCULOS,OLHOS,,,,,
741,INJEÇÃO OCULAR DE TOXINA BOTULÍNICA,AMB,HCO,HSO,REF,PAC,MÚSCULOS,OLHOS,,,,,
742,APLICAÇÃO DE PLACA RADIATIVA EPISCLERAL,HCO,HSO,REF,RETINA,OLHOS,,,,,,,
743,BIÓPSIA DE RETINA,HCO,HSO,REF,RETINA,OLHOS,,,,,,,
744,EXÉRESE DE TUMOR DE CORÓIDE E/OU CORPO CILIAR,,HCO,HSO,REF,RETINA,OLHOS,,,,,,
745,FOTOCOAGULAÇÃO (LASER),AMB,HCO,HSO,REF,RETINA,OLHOS,,,,,,
746,,AMB,HCO,HSO,REF,46,RETINA,OLHOS,,,,,
747,DE UTILIZAÇÃO),,,,,,,,INVASIVOS,,,,
748,MAPEAMENTO DE RETINA (FUNDOSCOPIA),AMB,HCO,HSO,REF,RETINA,OLHOS,,,,,,
749,PANCRIOTERAPIA PERIFÉRICA,,HCO,HSO,REF,RETINA,OLHOS,,,,,,
750,,AMB,HCO,HSO,REF,59,RETINA,OLHOS,,,,,
751,UTILIZAÇÃO),,,,,,,,INVASIVOS,,,,
752,REMOÇÃO DE IMPLANTE EPISCLERAL,HCO,HSO,REF,RETINA,OLHOS,,,,,,,
753,RETINOPEXIA COM INTROFLEXÃO ESCLERAL,HCO,HSO,REF,RETINA,OLHOS,,,,,,,
754,RETINOPEXIA PNEUMÁTICA,HCO,HSO,REF,RETINA,OLHOS,,,,,,,
755,RETINOPEXIA PROFILÁTICA (CRIOPEXIA),HCO,HSO,REF,RETINA,OLHOS,,,,,,,
756,,RN,,,,,,,,,,,
757,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
758,,(alteração),,,,,,,,,,,
759,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
760,DACRIOCISTORRINOSTOMIA COM OU SEM INTUBAÇÃO,,HCO,HSO,REF,VIAS LACRIMAIS,OLHOS,,,,,,
761,,,,,,,,INVASIVOS,,,,,
762,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
763,FECHAMENTO DOS PONTOS LACRIMAIS,AMB,HCO,HSO,REF,VIAS LACRIMAIS,OLHOS,,,,,,
764,RECONSTITUIÇÃO DE VIAS LACRIMAIS COM SILICONE OU OUTRO MATERIAL,,HCO,HSO,REF,VIAS LACRIMAIS,OLHOS,,,,,,
765,SONDAGEM DAS VIAS LACRIMAIS - COM OU SEM LAVAGEM,AMB,HCO,HSO,REF,VIAS LACRIMAIS,OLHOS,,,,,,
766,BIÓPSIA DE PAVILHÃO AURICULAR,AMB,HCO,HSO,REF,PAVILHÃO AURICULAR,ORELHA,,,,,,
767,EXÉRESE DE TUMOR,AMB,HCO,HSO,REF,PAVILHÃO AURICULAR,ORELHA,,,,,,
768,,HCO,HSO,REF,PAVILHÃO AURICULAR,ORELHA,,,,,,,
769,FACIAL),,,,,,INVASIVOS,,,,,,
770,RECONSTRUÇÃO DE ORELHA,AMB,HCO,HSO,REF,PAVILHÃO AURICULAR,ORELHA,,,,,,
771,RECONSTRUÇÃO DE UNIDADE ANATÔMICA DO PAVILHÃO AURICULAR,,HCO,HSO,REF,PAVILHÃO AURICULAR,ORELHA,,,,,,
772,RECONSTRUÇÃO TOTAL DE ORELHA,HCO,HSO,REF,PAVILHÃO AURICULAR,ORELHA,,,,,,,
773,RESSECÇÃO DE ORELHA,HCO,HSO,REF,PAVILHÃO AURICULAR,ORELHA,,,,,,,
774,"RESSECÇÃO DE TUMOR DE PAVILHÃO AURICULAR, INCLUINDO PARTE DO OSSO TEMPORAL",,HCO,HSO,REF,PAVILHÃO AURICULAR,ORELHA,,,,,,
775,TRATAMENTO CIRÚRGICO DE SINUS PRÉ-AURICULAR,AMB,HCO,HSO,REF,PAVILHÃO AURICULAR,ORELHA,,,,,,
776,ASPIRAÇÃO AURICULAR OU CURATIVO,AMB,HCO,HSO,REF,ORELHA EXTERNA,ORELHA,,,,,,
777,BIÓPSIA DE ORELHA EXTERNA,AMB,HCO,HSO,REF,ORELHA EXTERNA,ORELHA,,,,,,
778,ESTENOSE DE CONDUTO AUDITIVO EXTERNO - CORREÇÃO,,HCO,HSO,REF,ORELHA EXTERNA,ORELHA,,,,,,
779,EXÉRESE DE CISTO PRÉ-AURICULAR,AMB,,,REF,ORELHA EXTERNA,ORELHA,,,,,,
780,,RN,,,,,,,,,,,
781,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
782,,(alteração),,,,,,,,,,,
783,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
784,RETIRADA DE CORPOS ESTRANHOS OU PÓLIPOS E OU BIÓPSIA,AMB,HCO,HSO,REF,ORELHA EXTERNA,ORELHA,,,,,,
785,,,,,,,,INVASIVOS,,,,,
786,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
787,TUMOR DE CONDUTO AUDITIVO EXTERNO - EXÉRESE,AMB,HCO,HSO,REF,ORELHA EXTERNA,ORELHA,,,,,,
788,CAUTERIZAÇÃO DE MEMBRANA TIMPÂNICA,AMB,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,
789,DUCHA DE POLITZER OU CURATIVO DE OUVIDO,AMB,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,
790,ESTAPEDECTOMIA OU ESTAPEDOTOMIA,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,,
791,EXPLORAÇÃO E DESCOMPRESSÃO DO NERVO FACIAL INTRATEMPORAL,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,,
792,FÍSTULA PERILINFÁTICA - FECHAMENTO CIRÚRGICO,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,,
793,GLOMUS JUGULAR - RESSECÇÃO,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,,
794,GLOMUS TIMPÂNICUS - RESSECÇÃO,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,,
795,MASTOIDECTOMIA,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,,
796,OUVIDO CONGÊNITO - TRATAMENTO CIRÚRGICO,,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,
797,PARACENTESE DO TÍMPANO - MIRINGOTOMIA,AMB,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,
798,IMPLANTE DE PRÓTESE AUDITIVA ANCORADA NO OSSO (COM DIRETRIZ DE UTILIZAÇÃO),HCO,HSO,REF,PAC,44,ORELHA MÉDIA,ORELHA,,,,,
799,TÍMPANO-MASTOIDECTOMIA,HCO,HSO,REF,,,ORELHA MÉDIA,ORELHA,,,,,
800,TIMPANOPLASTIA - MIRINGOPLASTIA,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,,
801,TIMPANOPLASTIA COM RECONSTRUÇÃO DA CADEIA OSSICULAR,HCO,HSO,REF,ORELHA MÉDIA,ORELHA,,,,,,,
802,,RN,,,,,,,,,,,
803,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
804,,(alteração),,,,,,,,,,,
805,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
806,ENXERTO INTRATEMPORAL DO NERVO FACIAL,HCO,HSO,REF,ORELHA INTERNA,ORELHA,,,,,,,
807,,,,,,,INVASIVOS,,,,,,
808,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
809,EXPLORAÇÃO E DESCOMPRESSÃO DO NERVO FACIAL,HCO,HSO,REF,ORELHA INTERNA,ORELHA,,,,,,,
810,IMPLANTE COCLEAR (COM DIRETRIZ DE UTILIZAÇÃO),HCO,HSO,REF,PAC,33,ORELHA INTERNA,ORELHA,,,,,
811,LABIRINTECTOMIA (MEMBRANOSA OU ÓSSEA) - SEM AUDIÇÃO,HCO,HSO,REF,,,ORELHA INTERNA,ORELHA,,,,,
812,NEURECTOMIA VESTIBULAR PARA FOSSA MÉDIA OU POSTERIOR,HCO,HSO,REF,ORELHA INTERNA,ORELHA,,,,,,,
813,NEURECTOMIA VESTIBULAR TRANSLABIRÍNTICA - SEM AUDIÇÃO,HCO,HSO,REF,ORELHA INTERNA,ORELHA,,,,,,,
814,RESSECÇÃO DO OSSO TEMPORAL,HCO,HSO,REF,ORELHA INTERNA,ORELHA,,,,,,,
815,TUMOR DO NERVO ACÚSTICO - RESSECÇÃO,HCO,HSO,REF,ORELHA INTERNA,ORELHA,,,,,,,
816,ABSCESSO OU HEMATOMA DE SEPTO NASAL - DRENAGEM COM OU SEM ANESTESIA GERAL,AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
817,ALONGAMENTO DE COLUMELA EM PACIENTES COM LESÕES LABIO-PALATAIS,,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
818,BIÓPSIA DE NARIZ,AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
819,CAUTERIZAÇÃO DE EPISTAXE COM OU SEM MICROSCOPIA,AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
820,CORNETO INFERIOR - CAUTERIZAÇÃO LINEAR E/OU INFILTRAÇÃO MEDICAMENTOSA,AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
821,,,,,,,,INVASIVOS,,,,,
822,EPISTAXE - CAUTERIZAÇÃO DA ARTÉRIA ESFENOPALATINA COM OU SEM MICROSCOPIA POR,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
823,,AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
824,VIDEOENDOSCOPIA,,,,,,,INVASIVOS,,,,,
825,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
826,EPISTAXE - LIGADURA DAS ARTÉRIAS ETMOIDAIS,,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
827,,,,,,,,INVASIVOS,,,,,
828,,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,
829,"EPISTAXE - TAMPONAMENTO ANTERO-POSTERIOR, COM OU SEM ANESTESIA GERAL",AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
830,,RN,,,,,,,,,,,
831,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
832,,(alteração),,,,,,,,,,,
833,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
834,FECHAMENTO DE FÍSTULA LIQUÓRICA TRANSNASAL,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
835,,,,,,,INVASIVOS,,,,,,
836,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
837,FÍSTULA LIQUÓRICA - TRATAMENTO CIRÚRGICO ENDOSCÓPICO,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
838,FRATURAS DOS OSSOS NASAIS - REDUÇÃO CIRÚRGICA E GESSO,,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
839,FRATURAS DOS OSSOS NASAIS - REDUÇÃO INCRUENTA E GESSO,AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
840,IMPERFURAÇÃO COANAL - CORREÇÃO CIRÚRGICA INTRANASAL OU TRANSPALATINA,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
841,IMPERFURAÇÃO COANAL - CORREÇÃO CIRURGICA INTRANASAL POR VIDEOENDOSCOPIA,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
842,OZENA - TRATAMENTO CIRÚRGICO,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
843,PERFURAÇÃO DO SEPTO NASAL - CORREÇÃO CIRÚRGICA,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
844,POLIPECTOMIA,AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
845,RECONSTRUÇÃO NASAL,,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
846,RESSECÇÃO DE SINÉQUIAS,AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
847,RESSECÇÃO DE TUMORES MALIGNOS TRANSNASAIS,,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
848,"RETIRADA DE CORPO ESTRANHO DE NARIZ, COM OU SEM ANESTESIA GERAL",AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
849,"RETIRADA DE CORPO ESTRANHO DE NARIZ, COM OU SEM ANESTESIA GERAL POR VIDEOENDOSCOPIA",AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
850,RINECTOMIA,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
851,RINOSSEPTOPLASTIA FUNCIONAL,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
852,,RN,,,,,,,,,,,
853,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
854,,(alteração),,,,,,,,,,,
855,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
856,TRATAMENTO CIRÚRGICO DO RINOFIMA,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
857,,,,,,,INVASIVOS,,,,,,
858,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
859,TRATAMENTO DE DEFORMIDADE TRAUMÁTICA NASAL,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
860,TUMOR INTRANASAL - EXÉRESE POR RINOTOMIA LATERAL,,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
861,TUMOR INTRANASAL - EXÉRESE POR VIA TRANSNASAL,AMB,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,
862,TURBINECTOMIA OU TURBINOPLASTIA,HCO,HSO,REF,NARIZ,NARIZ E SEIOS PARANASAIS,,,,,,,
863,ANTROSTOMIA MAXILAR INTRANASAL,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
864,"ANTROSTOMIA MAXILAR, ETMOIDECTOMIA (ABERTURA DE TODAS AS CAVIDADES PARANASAIS)",HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
865,ARTÉRIA MAXILAR INTERNA - LIGADURA TRANSMAXILAR,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
866,BIOPSIA - SEIOS PARANASAIS,AMB,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,
867,DESCOMPRESSÃO TRANSETMOIDAL DO CANAL ÓPTICO,,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,
868,ETMOIDECTOMIA EXTERNA OU INTRANASAL,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
869,ETMOIDECTOMIA INTRANASAL POR VIDEOENDOSCOPIA,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
870,EXÉRESE - PÓLIPO,AMB,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,
871,EXÉRESE DE CISTO NASO-ALVEOLAR E GLOBULAR,,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,
872,EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA (TEMPO FACIAL),HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
873,EXÉRESE DE TUMOR DE SEIOS PARANASAIS POR VIA ENDOSCOPICA,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
874,,RN,,,,,,,,,,,
875,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
876,,(alteração),,,,,,,,,,,
877,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
878,RESSECÇÃO DE TUMOR BENIGNO,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
879,,,,,,,INVASIVOS,,,,,,
880,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
881,RESSECÇÃO DO MAXILAR SUPERIOR E RECONSTRUÇÃO À CUSTA DE RETALHOS,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
882,RESSECÇÃO DO MESO E INFRA-ESTRUTURA DO MAXILAR SUPERIOR,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
883,SINUSECTOMIA FRONTAL COM RETALHO OSTEOPLÁSTICO OU VIA CORONAL,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
884,SINUSECTOMIA FRONTO-ETMOIDAL POR VIA EXTERNA,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
885,SINUSECTOMIA MAXILAR CALDWELL-LUC,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
886,,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
887,"MICROSCOPIA, VIA ENDONASAL",,,,,,INVASIVOS,,,,,,
888,SINUSECTOMIA TRANSMAXILAR - ERMIRO DE LIMA,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
889,SINUSOTOMIA ESFENOIDAL OU FRONTAL INTRANASAL OU FRONTAL VIA EXTERNA,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,,
890,TRATAMENTO CIRÚRGICO - FÍSTULA OROANTRAL OU ORONASAL,,HCO,HSO,REF,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,,,,,,
891,BIÓPSIA CIRÚRGICA DE COSTELA OU ESTERNO,AMB,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,
892,CORREÇÃO DE DEFORMIDADES DA PAREDE TORÁCICA,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
893,COSTECTOMIA,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
894,ESTERNECTOMIA,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
895,FECHAMENTO DE PLEUROSTOMIA,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
896,MOBILIZAÇÃO DE RETALHOS MUSCULARES OU DO OMENTO,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
897,PLUMBAGEM EXTRAFASCIAL,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
898,,RN,,,,,,,,,,,
899,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
900,,(alteração),,,,,,,,,,,
901,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
902,"RECONSTRUÇÃO DA PAREDE TORÁCICA COM RETALHOS CUTÂNEOS, MUSCULARES OU MIOCUTÂNEOS",HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
903,,,,,,,INVASIVOS,,,,,,
904,,,,,,,PROCEDIMENTOS CIRÚRGICOS E,,,,,,
905,RECONSTRUÇÃO DA REGIÃO ESTERNAL COM RETALHOS MUSCULARES,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
906,REDUÇÃO INCRUENTA DE FRATURA LUXAÇÃO DE ESTERNO OU COSTELA,AMB,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,
907,RESSECÇÃO DE TUMOR DO DIAFRAGMA E RECONSTRUÇÃO,,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,
908,RETIRADA DE CORPO ESTRANHO DA PAREDE TORÁCICA,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
909,TORACECTOMIA,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
910,TORACOPLASTIA,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
911,TORACOTOMIA COM BIÓPSIA,HCO,HSO,REF,PAREDE TORÁCICA,PAREDE TORÁCICA,,,,,,,
